"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2024","7,991.40","8,071.35","8,086.35","7,947.65","","-1.33%"
"03/18/2024","8,099.35","7,991.55","8,115.50","7,957.85","","1.11%"
"03/15/2024","8,010.80","8,062.60","8,094.00","7,879.25","","-0.93%"
"03/14/2024","8,086.00","7,910.10","8,101.35","7,870.50","","1.89%"
"03/13/2024","7,935.70","8,329.05","8,332.00","7,881.50","","-4.58%"
"03/12/2024","8,316.30","8,421.15","8,433.80","8,295.50","","-1.16%"
"03/11/2024","8,414.25","8,485.20","8,499.70","8,400.05","","-0.78%"
"03/07/2024","8,480.05","8,445.35","8,517.30","8,443.35","","0.57%"
"03/06/2024","8,432.00","8,468.95","8,482.60","8,287.35","","-0.35%"
"03/05/2024","8,461.60","8,454.80","8,475.50","8,419.85","","0.22%"
"03/04/2024","8,443.10","8,417.45","8,470.80","8,372.35","","0.61%"
"03/02/2024","8,392.25","8,375.00","8,399.25","8,361.95","","0.46%"
"03/01/2024","8,353.85","8,189.75","8,362.00","8,189.60","","2.62%"
"02/29/2024","8,140.70","8,121.40","8,179.00","8,055.60","","0.45%"
"02/28/2024","8,104.50","8,267.30","8,274.50","8,084.85","","-1.93%"
"02/27/2024","8,263.85","8,264.10","8,292.90","8,219.25","","-0.06%"
"02/26/2024","8,269.20","8,300.85","8,304.05","8,221.50","","-0.29%"
"02/23/2024","8,293.65","8,343.70","8,347.70","8,271.95","","-0.30%"
"02/22/2024","8,318.50","8,297.60","8,331.25","8,176.15","","0.73%"
"02/21/2024","8,258.40","8,377.00","8,399.45","8,226.15","","-0.90%"
"02/20/2024","8,333.50","8,329.55","8,345.85","8,265.60","","0.12%"
"02/19/2024","8,323.40","8,356.30","8,389.20","8,309.75","","0.13%"
"02/16/2024","8,312.90","8,333.55","8,367.20","8,299.75","","0.29%"
"02/15/2024","8,289.15","8,240.95","8,316.30","8,211.75","","1.20%"
"02/14/2024","8,190.70","7,999.05","8,204.60","7,961.85","","1.82%"
"02/13/2024","8,044.10","8,073.00","8,073.35","7,918.30","","-0.30%"
"02/12/2024","8,068.15","8,249.00","8,272.80","8,035.55","","-2.14%"
"02/09/2024","8,244.85","8,330.85","8,334.65","8,079.30","","-0.60%"
"02/08/2024","8,294.85","8,348.35","8,360.35","8,251.80","","-0.13%"
"02/07/2024","8,306.00","8,312.15","8,360.70","8,252.55","","0.87%"
"02/06/2024","8,234.55","8,148.50","8,242.20","8,049.05","","1.50%"
"02/05/2024","8,112.90","8,157.10","8,216.35","8,072.80","","0.09%"
"02/02/2024","8,105.85","7,996.45","8,136.15","7,990.00","","2.14%"
"02/01/2024","7,935.65","8,021.10","8,021.10","7,916.45","","-0.47%"
"01/31/2024","7,973.10","7,904.40","7,981.15","7,902.90","","1.07%"
"01/30/2024","7,888.60","8,003.90","8,018.45","7,877.80","","-1.01%"
"01/29/2024","7,968.70","7,801.10","7,983.50","7,786.65","","3.04%"
"01/25/2024","7,733.65","7,710.35","7,756.25","7,659.25","","0.72%"
"01/24/2024","7,678.00","7,577.05","7,693.00","7,515.75","","1.96%"
"01/23/2024","7,530.55","7,839.50","7,841.05","7,495.80","","-3.00%"
"01/20/2024","7,763.35","7,770.75","7,792.20","7,741.45","","0.40%"
"01/19/2024","7,732.20","7,684.00","7,746.65","7,661.90","","1.43%"
"01/18/2024","7,623.00","7,652.20","7,684.65","7,501.65","","-0.55%"
"01/17/2024","7,664.95","7,757.55","7,787.55","7,654.50","","-1.84%"
"01/16/2024","7,808.30","7,809.95","7,836.30","7,741.90","","0.05%"
"01/15/2024","7,804.25","7,800.60","7,811.60","7,721.85","","0.64%"
"01/12/2024","7,755.00","7,762.60","7,770.30","7,706.55","","0.39%"
"01/11/2024","7,724.50","7,700.20","7,737.70","7,685.90","","0.87%"
"01/10/2024","7,657.85","7,654.00","7,666.35","7,559.55","","0.05%"
"01/09/2024","7,653.95","7,705.90","7,710.75","7,644.05","","0.14%"
"01/08/2024","7,643.50","7,740.30","7,748.00","7,635.15","","-0.79%"
"01/05/2024","7,704.45","7,766.60","7,782.75","7,666.95","","-0.25%"
"01/04/2024","7,724.10","7,715.95","7,741.75","7,689.90","","0.60%"
"01/03/2024","7,678.05","7,738.35","7,747.55","7,654.55","","-0.48%"
"01/02/2024","7,715.30","7,738.15","7,738.90","7,604.15","","-0.04%"
"01/01/2024","7,718.75","7,742.25","7,764.55","7,701.60","","0.04%"
"12/29/2023","7,715.80","7,719.95","7,725.85","7,658.70","","-0.16%"
"12/28/2023","7,728.55","7,675.30","7,738.20","7,643.85","","1.15%"
"12/27/2023","7,640.65","7,614.90","7,652.45","7,586.40","","0.99%"
"12/26/2023","7,565.95","7,509.05","7,577.95","7,503.95","","1.28%"
"12/22/2023","7,470.45","7,460.85","7,494.30","7,408.90","","0.65%"
"12/21/2023","7,422.35","7,263.75","7,435.60","7,234.40","","1.38%"
"12/20/2023","7,321.35","7,584.45","7,610.20","7,305.70","","-2.94%"
"12/19/2023","7,543.30","7,537.45","7,560.10","7,465.85","","0.51%"
"12/18/2023","7,504.95","7,512.75","7,526.90","7,451.55","","-0.02%"
"12/15/2023","7,506.75","7,447.80","7,514.45","7,435.65","","1.48%"
"12/14/2023","7,397.35","7,382.45","7,406.65","7,365.10","","1.09%"
"12/13/2023","7,317.95","7,305.50","7,324.35","7,238.10","","0.47%"
"12/12/2023","7,283.45","7,338.65","7,360.55","7,261.65","","-0.55%"
"12/11/2023","7,323.75","7,287.50","7,330.95","7,272.85","","0.77%"
"12/08/2023","7,267.50","7,344.35","7,360.30","7,190.45","","-0.58%"
"12/07/2023","7,309.90","7,300.90","7,330.05","7,276.35","","0.48%"
"12/06/2023","7,275.20","7,281.95","7,316.85","7,210.50","","0.75%"
"12/05/2023","7,220.80","7,102.20","7,225.60","7,071.55","","1.97%"
"12/04/2023","7,081.15","7,085.15","7,089.85","7,023.95","","2.26%"
"12/01/2023","6,924.90","6,898.05","6,950.45","6,890.65","","1.00%"
"11/30/2023","6,856.10","6,825.05","6,866.65","6,779.40","","0.61%"
"11/29/2023","6,814.55","6,839.00","6,846.85","6,800.90","","0.28%"
"11/28/2023","6,795.65","6,706.55","6,803.00","6,697.15","","1.92%"
"11/24/2023","6,667.85","6,684.95","6,696.55","6,662.25","","-0.03%"
"11/23/2023","6,670.10","6,655.75","6,676.00","6,625.80","","0.40%"
"11/22/2023","6,643.70","6,656.85","6,673.45","6,611.10","","-0.08%"
"11/21/2023","6,649.30","6,649.50","6,668.65","6,643.55","","0.45%"
"11/20/2023","6,619.45","6,650.30","6,662.35","6,608.50","","-0.34%"
"11/17/2023","6,641.80","6,660.30","6,689.25","6,636.95","","-0.18%"
"11/16/2023","6,653.80","6,645.20","6,681.00","6,621.50","","0.35%"
"11/15/2023","6,630.50","6,618.55","6,642.65","6,600.85","","1.26%"
"11/13/2023","6,547.85","6,533.10","6,556.00","6,516.55","","0.15%"
"11/12/2023","6,538.05","6,556.05","6,556.05","6,530.70","","0.55%"
"11/10/2023","6,502.55","6,455.80","6,510.40","6,433.35","","0.61%"
