"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2024","9,766.95","9,856.35","9,866.85","9,754.20","","-1.14%"
"03/18/2024","9,879.50","9,857.40","9,891.50","9,820.90","","0.21%"
"03/15/2024","9,858.50","9,868.75","9,909.30","9,811.20","","-0.37%"
"03/14/2024","9,894.90","9,736.05","9,905.25","9,694.10","","1.45%"
"03/13/2024","9,753.90","10,009.70","10,014.50","9,690.80","","-1.77%"
"03/12/2024","9,929.85","9,982.80","9,986.25","9,898.75","","-0.52%"
"03/11/2024","9,981.35","10,045.55","10,066.85","9,967.30","","-0.40%"
"03/07/2024","10,021.00","9,971.80","10,030.95","9,935.65","","0.60%"
"03/06/2024","9,961.60","9,899.35","9,974.35","9,807.40","","0.77%"
"03/05/2024","9,885.90","9,885.55","9,915.85","9,854.20","","0.01%"
"03/04/2024","9,885.05","9,935.20","9,954.00","9,868.40","","-0.35%"
"03/02/2024","9,919.80","9,914.00","9,939.35","9,910.55","","0.37%"
"03/01/2024","9,883.70","9,841.30","9,903.65","9,825.50","","0.79%"
"02/29/2024","9,806.15","9,784.95","9,833.15","9,740.65","","0.04%"
"02/28/2024","9,801.90","9,954.10","9,966.95","9,788.90","","-1.37%"
"02/27/2024","9,938.55","9,897.25","9,950.45","9,873.85","","0.47%"
"02/26/2024","9,892.10","9,929.75","9,938.15","9,874.85","","-0.60%"
"02/23/2024","9,951.90","9,976.60","9,980.40","9,932.50","","-0.11%"
"02/22/2024","9,962.90","9,909.95","9,973.50","9,788.10","","0.94%"
"02/21/2024","9,870.15","9,900.20","9,949.35","9,835.60","","-0.13%"
"02/20/2024","9,882.65","9,888.50","9,896.95","9,830.45","","-0.06%"
"02/19/2024","9,888.80","9,847.00","9,908.00","9,832.40","","0.71%"
"02/16/2024","9,819.45","9,773.20","9,841.15","9,751.45","","0.91%"
"02/15/2024","9,730.95","9,732.75","9,742.65","9,702.65","","0.28%"
"02/14/2024","9,703.40","9,590.85","9,720.60","9,574.55","","0.67%"
"02/13/2024","9,638.70","9,615.65","9,665.40","9,583.60","","0.37%"
"02/12/2024","9,603.15","9,679.20","9,682.15","9,589.50","","-0.63%"
"02/09/2024","9,664.50","9,672.65","9,684.25","9,599.20","","-0.04%"
"02/08/2024","9,668.30","9,767.85","9,767.85","9,622.75","","-0.57%"
"02/07/2024","9,723.55","9,686.05","9,744.40","9,621.75","","1.01%"
"02/06/2024","9,626.60","9,591.30","9,638.80","9,577.80","","0.76%"
