"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2024","33,696.84","34,234.85","34,234.85","33,644.09","","-1.50%"
"03/18/2024","34,209.49","33,889.61","34,268.22","33,848.06","","0.88%"
"03/15/2024","33,910.35","34,254.10","34,254.10","33,759.09","","-0.82%"
"03/14/2024","34,192.21","33,516.08","34,219.12","33,491.98","","1.35%"
"03/13/2024","33,735.58","34,482.12","34,603.20","33,532.54","","-2.28%"
"03/12/2024","34,522.11","35,034.54","35,091.79","34,458.74","","-1.16%"
"03/11/2024","34,927.88","35,075.33","35,173.05","34,883.80","","0.09%"
"03/07/2024","34,896.13","34,946.59","35,054.74","34,860.63","","0.22%"
"03/06/2024","34,820.46","34,735.30","34,879.29","34,288.60","","0.32%"
"03/05/2024","34,708.06","34,789.25","34,841.47","34,520.92","","-0.14%"
"03/04/2024","34,755.44","35,033.09","35,084.03","34,723.62","","-0.59%"
"03/02/2024","34,960.51","34,995.79","35,050.84","34,853.77","","0.75%"
"03/01/2024","34,700.60","35,204.87","35,229.22","34,660.11","","-1.08%"
"02/29/2024","35,079.32","35,301.95","35,342.21","34,738.37","","-0.68%"
"02/28/2024","35,318.19","35,740.01","35,765.39","35,264.52","","-0.99%"
"02/27/2024","35,672.94","35,563.23","35,729.84","35,452.24","","0.50%"
"02/26/2024","35,495.10","35,814.69","35,867.18","35,355.75","","-0.72%"
"02/23/2024","35,752.44","35,820.54","35,866.55","35,653.49","","0.10%"
"02/22/2024","35,715.27","35,735.11","35,744.44","35,346.42","","0.33%"
"02/21/2024","35,599.46","35,806.65","35,875.08","35,441.19","6.44M","-0.40%"
"02/20/2024","35,741.58","35,765.01","35,821.33","35,452.08","5.28M","0.20%"
"02/19/2024","35,669.09","35,673.83","35,819.34","35,536.03","6.61M","0.49%"
"02/16/2024","35,493.80","35,193.03","35,597.78","35,152.73","","1.26%"
"02/15/2024","35,052.17","35,143.95","35,254.57","34,980.51","","-0.08%"
"02/14/2024","35,080.45","35,239.04","35,239.52","34,800.40","","-0.62%"
"02/13/2024","35,300.60","35,061.84","35,337.35","34,930.63","","0.74%"
"02/12/2024","35,042.46","35,146.35","35,383.70","34,980.27","","0.32%"
"02/09/2024","34,931.55","34,922.03","35,006.11","34,515.05","","0.34%"
"02/08/2024","34,814.27","35,000.95","35,073.37","34,730.42","","0.01%"
"02/07/2024","34,810.93","34,880.34","35,002.78","34,616.19","","0.38%"
"02/06/2024","34,680.49","34,283.09","34,709.93","34,224.03","","1.41%"
"02/05/2024","34,197.23","33,921.98","34,352.45","33,809.89","","1.22%"
"02/02/2024","33,785.65","33,788.95","33,957.56","33,723.63","","0.23%"
"02/01/2024","33,708.09","33,915.67","33,946.46","33,588.56","","-0.32%"
"01/31/2024","33,816.00","33,032.28","33,857.61","32,926.11","","2.67%"
"01/30/2024","32,935.61","33,280.34","33,356.45","32,871.72","","-0.54%"
"01/29/2024","33,113.78","32,887.19","33,159.21","32,775.90","","0.41%"
"01/25/2024","32,977.70","33,251.90","33,251.90","32,808.18","","-0.89%"
"01/24/2024","33,274.83","33,083.74","33,332.88","32,756.12","","0.85%"
"01/23/2024","32,992.96","32,906.70","33,340.78","32,794.26","","1.07%"
"01/20/2024","32,645.23","32,908.55","32,945.47","32,619.89","","-0.42%"
"01/19/2024","32,781.39","32,737.98","32,826.32","32,628.63","","0.69%"
"01/18/2024","32,556.83","32,316.77","32,659.48","31,729.46","","0.64%"
"01/17/2024","32,350.85","32,401.62","32,542.26","32,286.93","","-0.66%"
"01/16/2024","32,565.42","32,940.72","32,962.40","32,423.09","","-0.82%"
"01/15/2024","32,835.46","32,736.60","32,962.91","32,614.40","","0.61%"
"01/12/2024","32,637.12","32,934.10","32,934.10","32,580.36","","-0.46%"
"01/11/2024","32,789.17","32,777.14","32,821.37","32,688.54","","0.37%"
"01/10/2024","32,669.53","32,664.47","32,735.10","32,409.38","","0.43%"
"01/09/2024","32,530.66","32,431.69","32,626.00","32,354.32","","0.90%"
"01/08/2024","32,240.00","32,723.32","32,724.58","32,219.69","","-1.04%"
"01/05/2024","32,579.48","32,800.86","32,800.86","32,361.93","","-0.29%"
"01/04/2024","32,674.33","32,611.50","32,796.57","32,498.90","","0.60%"
"01/03/2024","32,480.26","32,318.21","32,544.64","32,187.17","","0.72%"
"01/02/2024","32,248.55","31,819.78","32,296.88","31,732.44","","1.80%"
"01/01/2024","31,678.43","31,648.06","31,785.07","31,588.31","","0.41%"
"12/29/2023","31,549.21","31,607.75","31,608.82","31,398.48","","0.04%"
"12/28/2023","31,536.84","31,340.85","31,588.06","31,249.41","","0.92%"
"12/27/2023","31,248.10","31,202.11","31,294.91","31,097.69","","0.49%"
"12/26/2023","31,095.11","30,864.83","31,105.61","30,785.91","","1.13%"
"12/22/2023","30,748.68","30,536.57","30,848.11","30,459.94","","1.25%"
"12/21/2023","30,370.54","29,927.18","30,413.12","29,644.98","","1.01%"
"12/20/2023","30,065.42","30,794.26","30,828.19","30,029.35","","-2.00%"
"12/19/2023","30,679.63","30,731.94","30,808.69","30,479.35","","0.28%"
"12/18/2023","30,593.92","30,487.46","30,793.91","30,384.89","","0.58%"
"12/15/2023","30,417.38","30,537.60","30,576.55","30,365.00","","0.05%"
"12/14/2023","30,401.42","30,547.78","30,570.04","30,343.14","","0.02%"
"12/13/2023","30,394.33","30,149.41","30,443.77","30,056.22","","1.05%"
"12/12/2023","30,079.75","30,341.92","30,402.18","29,979.32","","-0.46%"
"12/11/2023","30,219.65","30,292.45","30,310.25","30,008.43","","-0.38%"
"12/08/2023","30,335.71","30,551.93","30,639.17","30,204.37","","-0.58%"
"12/07/2023","30,511.77","30,393.68","30,537.49","30,287.18","","0.52%"
"12/06/2023","30,353.57","30,574.35","30,652.95","30,282.78","","-0.64%"
"12/05/2023","30,549.55","30,672.06","30,744.66","30,477.54","","-0.17%"
"12/04/2023","30,600.64","30,718.61","30,785.15","30,435.63","","0.40%"
"12/01/2023","30,478.30","30,462.98","30,594.57","30,369.43","","0.34%"
"11/30/2023","30,374.52","29,951.52","30,431.71","29,917.88","","1.66%"
"11/29/2023","29,878.10","29,758.74","29,908.06","29,704.21","","0.75%"
"11/28/2023","29,654.93","29,838.70","29,859.60","29,628.54","","-0.27%"
"11/24/2023","29,736.69","29,680.27","29,933.55","29,663.03","","0.53%"
"11/23/2023","29,580.00","29,977.63","29,987.85","29,549.64","","-1.13%"
"11/22/2023","29,918.88","29,817.07","30,017.05","29,770.16","","0.54%"
"11/21/2023","29,757.12","29,657.08","29,816.24","29,597.26","","0.59%"
"11/20/2023","29,583.12","29,557.24","29,785.02","29,528.91","","0.31%"
"11/17/2023","29,491.63","29,281.67","29,516.03","29,253.06","","0.88%"
"11/16/2023","29,234.43","29,011.70","29,317.77","28,980.92","","0.98%"
"11/15/2023","28,951.45","29,052.95","29,106.34","28,904.15","","0.22%"
"11/13/2023","28,887.35","29,005.08","29,076.08","28,822.08","","-0.53%"
"11/12/2023","29,042.60","29,053.31","29,117.37","29,010.67","","0.48%"
"11/10/2023","28,902.84","28,844.88","28,927.34","28,653.10","","0.35%"
"11/09/2023","28,801.13","28,789.78","28,852.10","28,654.78","","0.54%"
"11/08/2023","28,646.02","28,527.59","28,785.00","28,461.52","","0.92%"
"11/07/2023","28,385.64","28,063.79","28,411.06","28,037.87","","1.06%"
"11/06/2023","28,089.20","27,879.37","28,129.75","27,851.47","","1.19%"
"11/03/2023","27,759.58","27,752.23","27,871.48","27,705.39","","0.68%"
"11/02/2023","27,572.77","27,527.87","27,648.85","27,498.74","","0.81%"
"11/01/2023","27,349.96","27,313.42","27,415.84","27,231.39","","0.29%"
"10/31/2023","27,271.79","27,533.71","27,553.63","27,244.47","","-0.41%"
"10/30/2023","27,385.21","27,381.84","27,425.46","27,252.55","","0.39%"
"10/27/2023","27,279.72","27,083.87","27,356.17","27,065.61","","1.11%"
"10/26/2023","26,980.80","27,151.30","27,213.10","26,769.71","","-1.24%"
"10/25/2023","27,318.21","27,598.41","27,631.76","27,133.87","","-0.67%"
"10/23/2023","27,503.67","27,995.57","28,105.95","27,465.31","","-1.78%"
"10/20/2023","28,000.97","28,247.53","28,247.64","27,957.44","","-0.80%"
"10/19/2023","28,227.13","28,209.94","28,287.69","28,102.15","","-0.36%"
"10/18/2023","28,328.33","28,273.49","28,467.41","28,253.20","","0.33%"
"10/17/2023","28,236.41","28,264.53","28,344.24","28,210.29","","0.25%"
"10/16/2023","28,166.16","28,252.26","28,326.60","28,138.11","","-0.47%"
"10/13/2023","28,300.40","28,121.55","28,320.44","28,079.67","","0.32%"
"10/12/2023","28,210.39","28,315.61","28,351.53","28,147.12","","0.21%"
"10/11/2023","28,151.97","28,024.78","28,322.30","28,017.13","","0.53%"
"10/10/2023","28,004.49","27,946.26","28,075.65","27,946.26","","0.09%"
"10/09/2023","27,979.61","27,630.31","28,141.52","27,627.90","","-0.31%"
"10/06/2023","28,065.86","27,982.33","28,132.06","27,982.30","","0.49%"
"10/05/2023","27,929.23","28,177.86","28,178.96","27,903.08","","-0.30%"
"10/04/2023","28,012.06","28,404.06","28,404.51","27,884.43","","-1.47%"
"10/03/2023","28,428.85","28,510.68","28,561.10","28,368.82","","-0.24%"
"09/29/2023","28,497.52","28,033.01","28,637.55","27,981.57","","2.22%"
"09/28/2023","27,879.17","28,218.20","28,220.93","27,836.87","","-0.69%"
"09/27/2023","28,071.78","27,843.89","28,095.07","27,820.85","","1.13%"
"09/26/2023","27,758.61","27,844.14","27,889.15","27,727.27","","-0.15%"
