"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2024","16,616.35","16,840.91","16,848.41","16,604.55","","-0.87%"
"01/19/2024","16,762.62","16,673.91","16,779.41","16,673.79","59.58K","1.29%"
"01/18/2024","16,548.78","16,517.33","16,574.08","16,344.10","50.58K","-0.19%"
"01/17/2024","16,580.51","16,424.69","16,656.80","16,390.26","75.05K","0.22%"
"01/16/2024","16,544.56","16,740.20","16,740.20","16,501.08","73.74K","-1.12%"
"01/15/2024","16,732.45","16,713.90","16,893.24","16,649.81","64.14K","1.79%"
"01/12/2024","16,437.50","16,077.90","16,460.89","16,077.90","40.08K","4.40%"
"01/11/2024","15,744.17","15,864.48","15,895.19","15,717.74","35.95K","-0.43%"
"01/10/2024","15,811.73","15,781.77","15,854.38","15,697.31","56.19K","0.36%"
"01/09/2024","15,755.11","15,833.63","15,901.17","15,738.52","89.74K","0.39%"
"01/08/2024","15,693.96","15,764.52","15,838.87","15,667.68","72.97K","-0.77%"
"01/05/2024","15,815.62","15,687.41","15,876.96","15,687.18","123.14K","1.03%"
"01/04/2024","15,653.67","15,641.52","15,730.40","15,539.93","105.59K","0.47%"
"01/03/2024","15,579.91","15,792.83","15,792.83","15,571.73","74.25K","-1.78%"
"01/02/2024","15,862.79","15,998.61","15,998.61","15,792.31","135.22K","-0.75%"
"01/01/2024","15,982.80","15,924.20","16,048.66","15,865.31","229.23K","0.28%"
"12/29/2023","15,938.12","15,958.53","16,001.07","15,881.62","307.67K","-0.38%"
"12/28/2023","15,998.94","16,016.62","16,021.95","15,937.68","52.91K","0.16%"
"12/27/2023","15,973.66","15,840.15","15,989.53","15,840.15","46.70K","0.96%"
"12/26/2023","15,821.63","15,757.74","15,886.88","15,708.77","69.51K","-0.37%"
"12/22/2023","15,880.01","15,685.15","15,925.29","15,566.57","59.07M","1.75%"
"12/21/2023","15,607.50","15,376.28","15,654.91","15,375.80","57.29K","0.41%"
"12/20/2023","15,543.10","15,886.62","16,055.36","15,501.42","91.89K","-1.89%"
"12/19/2023","15,841.73","15,989.57","15,998.30","15,775.92","54.37K","-0.81%"
"12/18/2023","15,970.36","15,998.33","16,147.04","15,903.35","74.25K","-0.26%"
"12/15/2023","16,012.61","15,507.70","16,080.14","15,507.70","64.00K","3.64%"
"12/14/2023","15,450.20","15,177.82","15,490.73","15,177.82","79.91K","2.72%"
"12/13/2023","15,040.66","15,190.10","15,198.93","14,916.19","57.76M","-1.06%"
"12/12/2023","15,201.43","15,174.77","15,288.60","15,139.78","41.00K","-0.06%"
"12/11/2023","15,210.51","15,179.04","15,254.11","15,158.45","41.03M","0.32%"
"12/08/2023","15,161.42","15,067.86","15,184.31","15,031.82","58.23K","0.97%"
"12/07/2023","15,016.29","15,074.47","15,074.59","14,992.04","78.17K","-0.38%"
"12/06/2023","15,073.08","14,913.00","15,098.94","14,912.07","43.18K","1.18%"
"12/05/2023","14,897.90","14,995.99","15,001.31","14,819.60","59.92K","-0.43%"
"12/04/2023","14,962.90","15,010.73","15,047.37","14,906.57","84.91K","0.49%"
"12/01/2023","14,890.24","14,921.13","14,931.48","14,847.56","48.67M","0.11%"
"11/30/2023","14,874.19","14,857.41","14,889.59","14,787.85","79.17K","0.17%"
"11/29/2023","14,848.74","14,736.52","14,864.09","14,736.52","35.92K","1.20%"
"11/28/2023","14,673.05","14,634.62","14,696.99","14,537.57","38.83K","0.41%"
"11/24/2023","14,613.33","14,703.89","14,761.37","14,602.71","29.60K","-0.89%"
"11/23/2023","14,744.74","14,815.97","14,837.82","14,728.55","30.66K","-0.26%"
"11/22/2023","14,783.85","14,707.93","14,792.83","14,686.26","48.07K","0.52%"
"11/21/2023","14,707.70","14,764.04","14,775.16","14,694.93","58.05K","0.12%"
"11/20/2023","14,690.79","14,613.98","14,734.66","14,613.76","75.17M","0.52%"
"11/17/2023","14,615.36","14,658.37","14,711.70","14,599.99","59.84K","-0.26%"
"11/16/2023","14,653.30","14,392.40","14,734.08","14,354.49","74.39K","2.13%"
"11/15/2023","14,347.63","14,203.91","14,371.18","14,195.11","43.82M","2.12%"
"11/13/2023","14,049.89","14,123.51","14,131.78","14,036.29","29.04K","-0.66%"
"11/12/2023","14,143.40","14,160.06","14,178.12","14,119.13","9.74M","0.82%"
"11/10/2023","14,028.96","14,072.39","14,072.47","13,987.50","59.61K","-0.34%"
"11/09/2023","14,077.31","14,192.39","14,192.59","14,058.43","43.12K","-0.72%"
"11/08/2023","14,179.67","14,246.18","14,268.44","14,153.70","35.96K","-0.25%"
"11/07/2023","14,215.43","14,218.38","14,236.06","14,166.93","42.18K","-0.03%"
"11/06/2023","14,219.53","14,179.27","14,232.64","14,143.47","37.66K","0.79%"
"11/03/2023","14,108.75","14,094.61","14,138.92","14,086.71","142.66K","0.64%"
"11/02/2023","14,019.09","13,978.68","14,050.13","13,970.73","143.35K","1.02%"
"11/01/2023","13,878.20","13,938.85","13,992.84","13,856.72","267.09K","-0.63%"
"10/31/2023","13,965.66","14,038.81","14,039.29","13,896.82","82.61K","-0.29%"
"10/30/2023","14,006.20","13,972.53","14,033.58","13,886.52","73.91K","0.35%"
"10/27/2023","13,957.73","13,851.48","13,988.86","13,843.92","48.53K","1.33%"
"10/26/2023","13,774.16","13,832.49","13,844.28","13,730.77","48.99K","-1.16%"
"10/25/2023","13,935.76","14,083.26","14,164.71","13,893.49","52.96K","-1.39%"
"10/23/2023","14,132.88","14,374.90","14,407.65","14,118.75","48.68K","-1.92%"
"10/20/2023","14,410.06","14,414.84","14,466.69","14,365.60","37.64M","-0.17%"
"10/19/2023","14,434.74","14,403.89","14,487.05","14,403.89","55.03K","-0.42%"
"10/18/2023","14,495.74","14,558.64","14,614.84","14,484.87","43.49K","-0.36%"
"10/17/2023","14,547.49","14,571.18","14,609.44","14,530.95","48.57K","0.30%"
"10/16/2023","14,503.71","14,551.30","14,614.22","14,491.37","44.97K","-0.32%"
"10/13/2023","14,550.34","14,422.42","14,608.80","14,377.89","51.42M","-0.49%"
"10/12/2023","14,622.50","14,822.04","14,838.84","14,581.26","67.06M","-1.36%"
"10/11/2023","14,823.43","14,887.04","14,977.62","14,793.20","118.68K","0.05%"
"10/10/2023","14,816.07","14,677.09","14,832.20","14,633.57","32.22K","1.15%"
"10/09/2023","14,647.60","14,557.80","14,762.88","14,551.24","54.78M","-0.19%"
"10/06/2023","14,676.08","14,632.86","14,705.18","14,581.66","31.65M","0.55%"
"10/05/2023","14,595.14","14,549.91","14,689.10","14,536.56","48.75K","0.83%"
"10/04/2023","14,474.85","14,368.69","14,490.88","14,317.70","41.69K","0.21%"
"10/03/2023","14,444.65","14,455.22","14,482.06","14,347.63","69.47K","-0.18%"
"09/29/2023","14,470.90","14,492.58","14,556.37","14,360.27","46.44M","-0.08%"
"09/28/2023","14,482.10","14,736.10","14,738.43","14,453.20","60.52K","-1.49%"
"09/27/2023","14,701.86","14,654.09","14,724.20","14,588.33","72.65K","0.43%"
"09/26/2023","14,638.46","14,699.65","14,704.64","14,616.21","130.08K","-0.36%"
"09/25/2023","14,691.67","14,807.47","14,807.47","14,662.00","45.17K","-0.78%"
"09/22/2023","14,806.42","14,778.90","14,894.39","14,724.68","78.18M","-0.12%"
"09/21/2023","14,824.29","14,738.08","14,842.37","14,649.55","42.98K","0.06%"
"09/20/2023","14,815.38","14,837.38","14,894.43","14,781.08","40.73K","-0.47%"
"09/18/2023","14,885.86","14,988.51","14,988.51","14,873.95","107.63K","-0.92%"
"09/15/2023","15,024.28","14,904.11","15,044.49","14,904.11","183.16K","1.07%"
"09/14/2023","14,865.78","14,855.00","14,944.08","14,830.79","25.98M","0.36%"
"09/13/2023","14,812.54","14,751.87","14,830.56","14,697.90","62.71K","0.22%"
"09/12/2023","14,779.58","14,696.70","14,809.30","14,582.64","108.81M","0.79%"
"09/11/2023","14,664.41","14,586.45","14,675.77","14,568.15","127.96M","0.72%"
"09/08/2023","14,559.51","14,535.54","14,608.65","14,531.79","88.33K","0.12%"
"09/07/2023","14,541.85","14,512.50","14,561.48","14,469.90","86.34K","0.19%"
"09/06/2023","14,514.24","14,493.37","14,536.43","14,393.11","136.08K","0.20%"
"09/05/2023","14,485.97","14,378.54","14,523.25","14,344.57","49.43K","0.61%"
"09/04/2023","14,398.81","14,182.38","14,412.73","14,164.98","86.38K","1.51%"
"09/01/2023","14,185.12","14,037.26","14,204.13","14,037.26","196.68K","0.99%"
"08/31/2023","14,046.61","14,069.02","14,148.82","14,006.60","70.88K","-0.09%"
"08/30/2023","14,059.07","14,003.65","14,088.81","14,003.65","80.33K","0.75%"
"08/29/2023","13,954.03","14,006.14","14,013.52","13,928.77","108.64K","0.01%"
"08/28/2023","13,952.50","13,994.87","14,040.82","13,923.18","110.62K","-0.33%"
"08/25/2023","13,998.10","13,969.75","14,022.90","13,919.28","152.03K","-0.29%"
"08/24/2023","14,039.07","14,032.26","14,079.34","13,998.27","28.98K","0.48%"
"08/23/2023","13,972.62","14,008.95","14,019.35","13,961.69","25.90K","0.08%"
"08/22/2023","13,960.76","13,958.00","13,971.67","13,891.49","68.03K","0.09%"
"08/21/2023","13,947.97","13,791.61","13,966.76","13,791.61","28.34K","1.00%"
"08/18/2023","13,809.93","13,934.33","13,934.33","13,786.81","30.71K","-1.26%"
"08/17/2023","13,986.01","14,041.74","14,060.08","13,922.78","39.39K","-0.38%"
"08/16/2023","14,038.74","14,026.98","14,068.55","13,996.30","","0.50%"
"08/14/2023","13,969.08","13,855.70","13,980.21","13,796.17","28.63M","0.57%"
"08/11/2023","13,889.55","13,975.48","14,027.96","13,864.61","29.95M","-0.35%"
"08/10/2023","13,937.87","13,938.64","13,955.78","13,871.32","49.85K","-0.19%"
"08/09/2023","13,964.78","13,886.46","13,973.49","13,856.19","31.42K","0.26%"
"08/08/2023","13,928.98","13,986.10","13,986.10","13,883.85","70.40K","-0.16%"
"08/07/2023","13,950.75","13,818.81","13,967.61","13,818.81","58.65K","0.91%"
"08/04/2023","13,824.84","13,650.96","13,849.06","13,645.15","63.48K","1.39%"
"08/03/2023","13,635.08","13,606.68","13,671.49","13,520.68","31.67M","-0.20%"
"08/02/2023","13,662.71","13,707.32","13,759.23","13,578.88","51.16M","-0.87%"
"08/01/2023","13,782.74","13,672.98","13,809.87","13,672.98","32.05K","0.79%"
"07/31/2023","13,674.87","13,526.18","13,686.62","13,516.54","37.29M","1.03%"
"07/28/2023","13,535.96","13,632.66","13,671.37","13,479.80","34.05M","-0.69%"
"07/27/2023","13,629.77","13,616.69","13,694.51","13,591.08","69.21M","0.10%"
"07/26/2023","13,616.35","13,550.75","13,673.37","13,550.75","148.82M","0.47%"
"07/25/2023","13,552.15","13,563.04","13,597.60","13,523.70","61.73M","-0.15%"
"07/24/2023","13,572.69","13,563.94","13,640.22","13,554.45","76.74M","0.15%"
"07/21/2023","13,552.34","13,543.08","13,709.43","13,474.60","72.81M","-3.91%"
"07/20/2023","14,104.17","14,165.17","14,166.80","14,017.72","38.43M","-0.53%"
"07/19/2023","14,179.64","14,220.36","14,314.54","14,091.65","61.38M","-0.12%"
"07/18/2023","14,196.17","14,058.45","14,235.65","13,962.44","59.28M","1.13%"
"07/17/2023","14,036.99","14,040.96","14,258.85","13,972.03","48.86M","0.04%"
"07/14/2023","14,031.50","13,601.88","14,064.37","13,601.88","23.41M","3.74%"
"07/13/2023","13,526.11","13,321.98","13,642.07","13,321.98","28.19M","1.45%"
"07/12/2023","13,332.46","13,445.26","13,455.78","13,289.94","20.11M","-0.66%"
"07/11/2023","13,421.64","13,396.38","13,437.56","13,317.65","15.53M","0.70%"
"07/10/2023","13,327.71","13,413.03","13,425.78","13,261.25","22.96M","-0.71%"
"07/07/2023","13,422.39","13,417.25","13,537.77","13,383.89","24.51M","-0.49%"
"07/06/2023","13,488.56","13,467.50","13,497.02","13,436.31","21.64M","0.00%"
"07/05/2023","13,487.99","13,493.79","13,521.52","13,442.23","23.27M","0.24%"
"07/04/2023","13,456.17","13,435.19","13,461.13","13,363.72","24.73M","0.54%"
"07/03/2023","13,384.41","13,445.28","13,490.18","13,356.77","28.49M","-0.29%"
"06/30/2023","13,423.12","13,190.85","13,447.52","13,190.85","47.02M","2.13%"
"06/28/2023","13,143.59","13,130.62","13,189.02","13,089.92","38.62M","0.51%"
"06/27/2023","13,077.37","13,018.51","13,090.24","13,018.43","35.52M","0.66%"
"06/26/2023","12,991.45","12,972.33","13,005.76","12,937.28","37.82M","0.01%"
"06/23/2023","12,990.11","13,037.66","13,053.28","12,952.72","33.20M","-0.59%"
"06/22/2023","13,066.76","13,156.87","13,156.87","13,051.98","42.73M","-0.77%"
"06/21/2023","13,168.29","13,133.60","13,178.89","13,103.08","55.81M","0.46%"
"06/20/2023","13,108.19","13,021.41","13,120.54","12,998.36","35.23M","0.67%"
"06/19/2023","13,020.76","13,010.29","13,058.44","12,974.74","32.24M","0.07%"
"06/16/2023","13,012.07","13,009.40","13,057.54","12,935.33","34.44M","-0.08%"
"06/15/2023","13,022.25","13,068.64","13,080.65","13,001.15","40.87M","-0.60%"
"06/14/2023","13,100.43","13,125.63","13,131.69","13,028.21","90.81M","-0.13%"
"06/13/2023","13,117.06","13,096.18","13,138.56","13,086.98","48.38M","0.48%"
"06/12/2023","13,054.69","12,892.56","13,067.08","12,892.56","26.85M","1.42%"
"06/09/2023","12,872.18","12,989.97","12,998.14","12,857.92","38.56M","-0.79%"
"06/08/2023","12,975.02","13,093.44","13,111.19","12,968.98","47.83M","-0.87%"
"06/07/2023","13,088.81","12,981.93","13,101.87","12,981.93","77.60M","1.05%"
